"age";"percent";"group"
7;0,00147279984159219;"lihie_90"
8;0,000327288853687154;"lihie_90"
9;0,00180008869527935;"lihie_90"
10;0,00441839952477658;"lihie_90"
11;0,0132551985743298;"lihie_90"
12;0,0247103084533802;"lihie_90"
13;0,113569232229443;"lihie_90"
14;0,427602887342267;"lihie_90"
15;0,608102690150733;"lihie_90"
16;0,652613974252186;"lihie_90"
17;0,947010298143781;"lihie_90"
18;1,32470163529876;"lihie_90"
19;1,59586045057856;"lihie_90"
20;1,97273356559932;"lihie_90"
21;2,59998265369075;"lihie_90"
22;3,35552897242755;"lihie_90"
23;4,23299038916281;"lihie_90"
24;4,78136286351564;"lihie_90"
25;5,58600251030551;"lihie_90"
26;6,34269434003021;"lihie_90"
27;7,16533487377287;"lihie_90"
28;6,88255730418717;"lihie_90"
29;6,57490578172125;"lihie_90"
30;6,19966911096892;"lihie_90"
31;5,43675879302417;"lihie_90"
32;4,47992982926977;"lihie_90"
33;3,78034990451348;"lihie_90"
34;3,2701065816152;"lihie_90"
35;2,70471508687064;"lihie_90"
36;2,16239745631103;"lihie_90"
37;1,88420193067695;"lihie_90"
38;1,58947831793167;"lihie_90"
39;1,3451571886542;"lihie_90"
40;1,17431240702951;"lihie_90"
41;1,00510406967325;"lihie_90"
42;0,897589681237021;"lihie_90"
43;0,779111116202271;"lihie_90"
44;0,680924460096125;"lihie_90"
45;0,600411402089085;"lihie_90"
46;0,51417078914252;"lihie_90"
47;0,468023060772631;"lihie_90"
48;0,394219424266177;"lihie_90"
49;0,329088942382434;"lihie_90"
50;0,294723612745283;"lihie_90"
51;0,270504237572433;"lihie_90"
52;0,236138907935282;"lihie_90"
53;0,232047797264192;"lihie_90"
54;0,195391445651231;"lihie_90"
55;0,196864245492823;"lihie_90"
56;0,180663447235309;"lihie_90"
57;0,166917315380449;"lihie_90"
58;0,144170740049192;"lihie_90"
59;0,115696609778409;"lihie_90"
60;0,107187099582543;"lihie_90"
61;0,0854223908123473;"lihie_90"
62;0,0808403468607271;"lihie_90"
63;0,0649668374569002;"lihie_90"
64;0,0541663052852241;"lihie_90"
65;0,0438567063940787;"lihie_90"
66;0,0364927071861177;"lihie_90"
